address,location,latitude,longitude,temp
104B DEPOT RD SINGAPORE,"104B, Depot Road, 109754, Depot Road, Singapore, Singapore",1.2805171,103.8121681,
113 JLN BT MERAH SINGAPORE,,1.2805225,103.8258442,
106A DEPOT RD SINGAPORE,"106A, Depot Road, 109754, Depot Road, Singapore, Singapore",1.28057455,103.811187,
106B DEPOT RD SINGAPORE,"106B, Depot Road, 109754, Depot Road, Singapore, Singapore",1.2806748,103.810825,
103A DEPOT RD SINGAPORE,"103A, Depot Road, 109670, Depot Road, Singapore, Singapore",1.28071795,103.8135359,
103B DEPOT RD SINGAPORE,"103B, Depot Road, 109754, Depot Road, Singapore, Singapore",1.2808166,103.8131738,
131B KIM TIAN RD SINGAPORE,"131B, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.2809001,103.828363,
111A DEPOT RD SINGAPORE,"111A, Depot Road, 109708, Depot Road, Singapore, Singapore",1.2810624,103.8088651,
127D KIM TIAN RD SINGAPORE,"127D, Kim Tian Road, 161120, Kim Tian Road, Singapore, Singapore",1.2810987,103.8299525,
129 KIM TIAN RD SINGAPORE,"129, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.281169,103.8288852,
111B DEPOT RD SINGAPORE,"111B, Depot Road, 109708, Depot Road, Singapore, Singapore",1.28117855,103.8085488,
113 DEPOT RD SINGAPORE,"113, Depot Road, 109708, Depot Road, Singapore, Singapore",1.28136095,103.807325,
109B DEPOT RD SINGAPORE,"Depot Road, 109685, Singapore, Singapore",1.2814191,103.8028474,
109A DEPOT RD SINGAPORE,"Depot Road, 109685, Singapore, Singapore",1.2814191,103.8028474,
110 DEPOT RD SINGAPORE,"110A, Depot Road, 109708, Depot Road, Singapore, Singapore",1.2814589,103.8091739,
128 KIM TIAN RD SINGAPORE,"128, Kim Tian Road, 161120, Kim Tian Road, Singapore, Singapore",1.2814846,103.829038,
119C KIM TIAN RD SINGAPORE,"119C, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28151915,103.8277065,
127C KIM TIAN RD SINGAPORE,"127C, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.2815389,103.8301769,
112A DEPOT RD SINGAPORE,"112A, Depot Road, 109708, Depot Road, Singapore, Singapore",1.2815592,103.8081396,
118A JLN MEMBINA SINGAPORE,,1.281598,103.8255851,
334 KRETA AYER RD SINGAPORE,"334, Kreta Ayer Road, 080334, Kreta Ayer Road, Singapore, Singapore",1.28163205,103.8423122,
112B DEPOT RD SINGAPORE,"112B, Depot Road, 109708, Depot Road, Singapore, Singapore",1.28164125,103.807736,
114 DEPOT RD SINGAPORE,"114, Depot Road, 109355, Depot Road, Singapore, Singapore",1.2816934,103.8069013,
103 DEPOT RD SINGAPORE,"Depot Road, 100108, Singapore, Singapore",1.2817047,103.8100438,
105 DEPOT RD SINGAPORE,"Depot Road, 100108, Singapore, Singapore",1.2817047,103.8100438,
107 DEPOT RD SINGAPORE,"Depot Road, 100108, Singapore, Singapore",1.2817047,103.8100438,
4 SAGO LANE SINGAPORE,"Kreta Ayer Heights, 4, Sago Lane, 050004, Sago Lane, Singapore, Singapore",1.28177045,103.8428944,
118B JLN MEMBINA SINGAPORE,,1.2817945,103.8259955,
119D KIM TIAN RD SINGAPORE,"119D, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28197515,103.8279368,
127A KIM TIAN RD SINGAPORE,"127A, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.2819979,103.8296549,
335A SMITH ST SINGAPORE,"335A, Smith Street, 051335, Smith Street, Singapore, Singapore",1.2822148,103.842932,
27A JLN MEMBINA SINGAPORE,,1.2822262,103.8247,
126C KIM TIAN RD SINGAPORE,"126C, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.2823189,103.8292928,
22 OUTRAM PK SINGAPORE,,1.2823484,103.8382161,
118C JLN MEMBINA SINGAPORE,,1.2823609,103.8263502,
335B SMITH ST SINGAPORE,"335B, Smith Street, 052335, Smith Street, Singapore, Singapore",1.2823852,103.8434498,
26C JLN MEMBINA SINGAPORE,,1.282452,103.8255084,
121A KIM TIAN PL SINGAPORE,"121A, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28262025,103.8282446,
118D JLN MEMBINA SINGAPORE,,1.2826673,103.826821,
121 KIM TIAN PL SINGAPORE,"121, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.2826888,103.8285559,
128 BT MERAH VIEW SINGAPORE,,1.2827503,103.823544,
26D JLN MEMBINA SINGAPORE,,1.2827673,103.8246257,
120 BT MERAH VIEW SINGAPORE,,1.282806,103.8225255,
126A KIM TIAN RD SINGAPORE,"126A, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.28286315,103.8295469,
120 KIM TIAN PL SINGAPORE,"120, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28293415,103.8280155,
27B JLN MEMBINA SINGAPORE,,1.2829864,103.8248267,
8 KIM TIAN PL SINGAPORE,"8, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28300305,103.827322,
26A JLN MEMBINA SINGAPORE,,1.2830871,103.8260633,
26B JLN MEMBINA SINGAPORE,,1.283138,103.8255288,
119B KIM TIAN RD SINGAPORE,"119B, Kim Tian Road, 161026, Kim Tian Road, Singapore, Singapore",1.2831479,103.8261483,
21 OUTRAM PK SINGAPORE,,1.2831913,103.8381642,
164 BT MERAH CTRL SINGAPORE,,1.2832122,103.816779,
120A KIM TIAN PL SINGAPORE,"120A, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.2832323,103.8278899,
122 KIM TIAN RD SINGAPORE,"122, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.28340775,103.8288892,
119 BT MERAH VIEW SINGAPORE,,1.2834093,103.8210677,
7 KIM TIAN PL SINGAPORE,"7, Kim Tian Road, 169263, Kim Tian Road, Singapore, Singapore",1.28348045,103.8270924,
24 JLN MEMBINA BARAT SINGAPORE,,1.2835522,103.8264297,
25B JLN MEMBINA SINGAPORE,,1.2836089,103.825399,
125 KIM TIAN RD SINGAPORE,"125, Kim Tian Road, 161126, Kim Tian Road, Singapore, Singapore",1.2836184,103.8282827,
25A JLN MEMBINA SINGAPORE,,1.2836196,103.8262072,
47 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
48 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
43 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
44 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
50 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
36 MOH GUAN TER SINGAPORE,"Moh Guan Terrace, 163078, Singapore, Singapore",1.2836697,103.8301452,
129 BT MERAH VIEW SINGAPORE,,1.2836861,103.8240541,
